"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","25","1","2","1.2","0.4","-"
"2",1,"Justin Jefferson",MIN,"WR2","25","1","3","2.0","0.5","-"
"3",1,"CeeDee Lamb",DAL,"WR3","26","3","9","4.7","1.9","-"
"4",1,"Bijan Robinson",ATL,"RB1","23","3","9","4.8","1.3","-"
"5",2,"Malik Nabers",NYG,"WR4","21","3","16","6.2","3.2","-"
"6",2,"Jahmyr Gibbs",DET,"RB2","23","3","15","6.6","2.3","-"
"7",2,"Amon-Ra St. Brown",DET,"WR5","25","4","11","7.3","2.1","-"
"8",2,"Puka Nacua",LAR,"WR6","23","3","18","9.3","3.1","-"
"9",2,"Brian Thomas Jr.",JAC,"WR7","22","7","18","9.6","2.1","-"
"10",2,"Ashton Jeanty",LV,"RB3","21","5","35","10.2","5.3","-"
"11",2,"Nico Collins",HOU,"WR8","26","4","17","12.1","3.0","-"
"12",3,"Saquon Barkley",PHI,"RB4","28","5","25","13.2","5.1","-"
"13",3,"De'Von Achane",MIA,"RB5","23","10","31","15.9","5.1","-"
"14",3,"Drake London",ATL,"WR9","23","10","27","16.8","4.5","-"
"15",3,"Brock Bowers",LV,"TE1","22","7","31","17.5","6.4","-"
"16",3,"A.J. Brown",PHI,"WR10","27","11","34","18.2","5.7","-"
"17",3,"Ladd McConkey",LAC,"WR11","23","14","29","20.5","4.3","-"
"18",3,"Jaxon Smith-Njigba",SEA,"WR12","23","14","32","21.4","4.4","-"
"19",3,"Garrett Wilson",NYJ,"WR13","24","13","36","22.2","5.5","-"
"20",3,"Josh Allen",BUF,"QB1","29","14","30","22.3","4.1","-"
"21",4,"Marvin Harrison Jr.",ARI,"WR14","22","12","35","23.8","5.3","-"
"22",4,"Jonathan Taylor",IND,"RB6","26","12","54","24.2","9.8","-"
"23",4,"Omarion Hampton",LAC,"RB7","22","12","64","26.0","13.0","-"
"24",4,"Trey McBride",ARI,"TE2","25","13","43","26.1","6.7","-"
"25",4,"Lamar Jackson",BAL,"QB2","28","12","42","26.3","5.8","-"
"26",4,"Breece Hall",NYJ,"RB8","23","9","57","26.8","15.1","-"
"27",4,"Bucky Irving",TB,"RB9","22","12","50","27.3","10.2","-"
"28",4,"Jayden Daniels",WAS,"QB3","24","10","42","27.8","6.8","-"
"29",4,"Tee Higgins",CIN,"WR15","26","20","40","28.7","4.9","-"
"30",4,"Travis Hunter",JAC,"WR16","22","18","63","32.1","9.3","-"
"31",5,"James Cook",BUF,"RB10","25","15","55","36.4","11.1","-"
"32",5,"Rashee Rice",KC,"WR17","25","24","57","37.5","8.6","-"
"33",5,"Joe Burrow",CIN,"QB4","28","15","62","37.6","8.2","-"
"34",5,"Kyren Williams",LAR,"RB11","24","16","80","39.0","15.1","-"
"35",5,"DeVonta Smith",PHI,"WR18","26","26","59","39.0","8.9","-"
"36",5,"Jalen Hurts",PHI,"QB5","26","28","51","39.8","5.8","-"
"37",5,"Tetairoa McMillan",CAR,"WR19","22","19","119","40.6","25.0","-"
"38",5,"Zay Flowers",BAL,"WR20","24","30","72","41.3","10.2","-"
"39",5,"Sam LaPorta",DET,"TE3","24","21","52","41.7","6.8","-"
"40",5,"Chase Brown",CIN,"RB12","25","19","66","43.3","13.1","-"
"41",5,"Josh Jacobs",GB,"RB13","27","21","69","44.3","13.8","-"
"42",5,"Rome Odunze",CHI,"WR21","22","30","92","45.5","15.7","-"
"43",5,"Patrick Mahomes II",KC,"QB6","29","21","64","46.8","8.2","-"
"44",5,"Terry McLaurin",WAS,"WR22","29","22","70","47.4","11.8","-"
"45",5,"DK Metcalf",PIT,"WR23","27","35","69","47.5","9.2","-"
"46",5,"DJ Moore",CHI,"WR24","28","31","67","47.6","9.2","-"
"47",5,"Jordan Addison",MIN,"WR25","23","29","74","47.8","11.6","-"
"48",5,"Kenneth Walker III",SEA,"RB14","24","24","83","48.6","12.9","-"
"49",5,"TreVeyon Henderson",NE,"RB15","22","33","98","50.5","12.4","-"
"50",6,"Jaylen Waddle",MIA,"WR26","26","37","85","52.0","14.5","-"
"51",6,"George Kittle",SF,"TE4","31","30","82","52.7","12.3","-"
"52",6,"Chris Olave",NO,"WR27","24","33","80","54.5","15.4","-"
"53",6,"Xavier Worthy",KC,"WR28","22","31","89","55.7","15.7","-"
"54",6,"Justin Herbert",LAC,"QB7","27","43","81","57.0","9.4","-"
"55",6,"Christian McCaffrey",SF,"RB16","28","24","78","58.1","13.5","-"
"56",6,"T.J. Hockenson",MIN,"TE5","27","44","85","58.6","11.6","-"
"57",6,"Derrick Henry",BAL,"RB17","31","11","87","59.2","17.4","-"
"58",6,"C.J. Stroud",HOU,"QB8","23","27","92","60.0","15.7","-"
"59",6,"Jameson Williams",DET,"WR29","24","42","82","61.7","10.5","-"
"60",6,"Tyreek Hill",MIA,"WR30","31","29","102","66.4","14.8","-"
"61",6,"Quinshon Judkins",CLE,"RB18","21","24","230","66.7","47.5","-"
"62",6,"Caleb Williams",CHI,"QB9","23","47","115","67.5","17.5","-"
"63",6,"George Pickens",DAL,"WR31","24","35","101","70.0","17.5","-"
